SITE,DATE,HORA,PM10
Bolivia,1/08/2013,1,66
Bolivia,1/08/2013,2,67
Bolivia,1/08/2013,3,67
Bolivia,1/08/2013,4,67
Bolivia,1/08/2013,5,67
Bolivia,1/08/2013,6,67
Bolivia,1/08/2013,7,66
Bolivia,1/08/2013,8,66
Bolivia,1/08/2013,9,66
Bolivia,1/08/2013,10,66
Bolivia,1/08/2013,11,67
Bolivia,1/08/2013,12,68
Bolivia,1/08/2013,13,67
Bolivia,1/08/2013,14,67
Bolivia,1/08/2013,15,67
Bolivia,1/08/2013,16,66
Bolivia,1/08/2013,17,65
Bolivia,1/08/2013,18,65
Bolivia,1/08/2013,19,65
Bolivia,1/08/2013,20,65
Bolivia,1/08/2013,21,65
Bolivia,1/08/2013,22,65
Bolivia,1/08/2013,23,65
Bolivia,1/08/2013,24,65
Bolivia,2/08/2013,1,64
Bolivia,2/08/2013,2,63
Bolivia,2/08/2013,3,63
Bolivia,2/08/2013,4,62
Bolivia,2/08/2013,5,62
Bolivia,2/08/2013,6,62
Bolivia,2/08/2013,7,63
Bolivia,2/08/2013,8,63
Bolivia,2/08/2013,9,63
Bolivia,2/08/2013,10,63
Bolivia,2/08/2013,11,63
Bolivia,2/08/2013,12,63
Bolivia,2/08/2013,13,62
Bolivia,2/08/2013,14,62
Bolivia,2/08/2013,15,62
Bolivia,2/08/2013,16,62
Bolivia,2/08/2013,17,62
Bolivia,2/08/2013,18,62
Bolivia,2/08/2013,19,63
Bolivia,2/08/2013,20,63
Bolivia,2/08/2013,21,63
Bolivia,2/08/2013,22,64
Bolivia,2/08/2013,23,64
Bolivia,2/08/2013,24,64
Bolivia,3/08/2013,1,63
Bolivia,3/08/2013,2,63
Bolivia,3/08/2013,3,63
Bolivia,3/08/2013,4,62
Bolivia,3/08/2013,5,61
Bolivia,3/08/2013,6,59
Bolivia,3/08/2013,7,59
Bolivia,3/08/2013,8,58
Bolivia,3/08/2013,9,57
Bolivia,3/08/2013,10,56
Bolivia,3/08/2013,11,55
Bolivia,3/08/2013,12,55
Bolivia,3/08/2013,13,55
Bolivia,3/08/2013,14,55
Bolivia,3/08/2013,15,55
Bolivia,3/08/2013,16,55
Bolivia,3/08/2013,17,55
Bolivia,3/08/2013,18,55
Bolivia,3/08/2013,19,55
Bolivia,3/08/2013,20,55
Bolivia,3/08/2013,21,54
Bolivia,3/08/2013,22,53
Bolivia,3/08/2013,23,52
Bolivia,3/08/2013,24,51
Bolivia,4/08/2013,1,51
Bolivia,4/08/2013,2,51
Bolivia,4/08/2013,3,51
Bolivia,4/08/2013,4,52
Bolivia,4/08/2013,5,53
Bolivia,4/08/2013,6,53
Bolivia,4/08/2013,7,53
Bolivia,4/08/2013,8,52
Bolivia,4/08/2013,9,52
Bolivia,4/08/2013,10,52
Bolivia,4/08/2013,11,52
Bolivia,4/08/2013,12,52
Bolivia,4/08/2013,13,52
Bolivia,4/08/2013,14,52
Bolivia,4/08/2013,15,52
Bolivia,4/08/2013,16,52
Bolivia,4/08/2013,17,52
Bolivia,4/08/2013,18,52
Bolivia,4/08/2013,19,53
Bolivia,4/08/2013,20,54
Bolivia,4/08/2013,21,54
Bolivia,4/08/2013,22,54
Bolivia,4/08/2013,23,55
Bolivia,4/08/2013,24,56
Bolivia,5/08/2013,1,56
Bolivia,5/08/2013,2,56
Bolivia,5/08/2013,3,56
Bolivia,5/08/2013,4,56
Bolivia,5/08/2013,5,55
Bolivia,5/08/2013,6,55
Bolivia,5/08/2013,7,55
Bolivia,5/08/2013,8,56
Bolivia,5/08/2013,9,56
Bolivia,5/08/2013,10,55
Bolivia,5/08/2013,11,55
Bolivia,5/08/2013,12,55
Bolivia,5/08/2013,13,56
Bolivia,5/08/2013,14,57
Bolivia,5/08/2013,15,58
Bolivia,5/08/2013,16,59
Bolivia,5/08/2013,17,60
Bolivia,5/08/2013,18,61
Bolivia,5/08/2013,19,60
Bolivia,5/08/2013,20,59
Bolivia,5/08/2013,21,58
Bolivia,5/08/2013,22,58
Bolivia,5/08/2013,23,56
Bolivia,5/08/2013,24,56
Bolivia,6/08/2013,1,55
Bolivia,6/08/2013,2,55
Bolivia,6/08/2013,3,55
Bolivia,6/08/2013,4,56
Bolivia,6/08/2013,5,57
Bolivia,6/08/2013,6,58
Bolivia,6/08/2013,7,60
Bolivia,6/08/2013,8,60
Bolivia,6/08/2013,9,61
Bolivia,6/08/2013,10,63
Bolivia,6/08/2013,11,65
Bolivia,6/08/2013,12,65
Bolivia,6/08/2013,13,65
Bolivia,6/08/2013,14,64
Bolivia,6/08/2013,15,63
Bolivia,6/08/2013,16,62
Bolivia,6/08/2013,17,61
Bolivia,6/08/2013,18,61
Bolivia,6/08/2013,19,61
Bolivia,6/08/2013,20,61
Bolivia,6/08/2013,21,62
Bolivia,6/08/2013,22,62
Bolivia,6/08/2013,23,62
Bolivia,6/08/2013,24,63
Bolivia,7/08/2013,1,63
